               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,             0.02635,            0.014951,            0.016578,              0.8599,             0.72054,              0.8037,             0.63838,            0.029538,           0.0071736,            0.027075,            0.003367,            0.003367,            0.003367
                  69,            0.026004,            0.014855,            0.016078,             0.84538,             0.75317,              0.8141,             0.64582,            0.029314,           0.0069673,            0.023889,            0.003268,            0.003268,            0.003268
                  70,            0.026069,            0.014493,            0.016317,             0.87135,             0.72135,             0.80865,             0.64835,            0.029342,           0.0070117,            0.026807,            0.003169,            0.003169,            0.003169
                  71,            0.025389,            0.014514,            0.016157,              0.8268,             0.75136,             0.81043,             0.64923,            0.029789,           0.0070948,            0.028595,             0.00307,             0.00307,             0.00307
                  72,            0.025503,            0.014556,            0.015596,             0.85276,              0.7407,             0.81802,             0.64791,            0.028938,           0.0069672,             0.02443,            0.002971,            0.002971,            0.002971
                  73,            0.025061,            0.014605,            0.015065,             0.87154,             0.73305,             0.80884,             0.64928,            0.028865,           0.0071162,            0.026988,            0.002872,            0.002872,            0.002872
                  74,            0.025308,            0.014391,            0.015038,             0.86808,             0.73288,             0.80853,             0.65287,            0.029247,            0.006986,            0.029365,            0.002773,            0.002773,            0.002773
                  75,            0.025217,            0.014535,            0.015594,             0.88375,              0.7279,             0.81518,             0.65834,            0.028671,           0.0069887,            0.028179,            0.002674,            0.002674,            0.002674
                  76,              0.0246,            0.014358,             0.01497,             0.86478,             0.74535,             0.81294,             0.65375,            0.029311,           0.0070718,            0.028803,            0.002575,            0.002575,            0.002575
                  77,            0.024703,            0.014017,            0.013923,             0.87691,             0.75034,             0.82128,             0.66185,             0.02846,            0.007098,             0.02658,            0.002476,            0.002476,            0.002476
                  78,            0.024621,            0.014132,            0.014805,             0.86774,             0.74035,             0.82144,             0.66036,            0.028595,           0.0070444,            0.026948,            0.002377,            0.002377,            0.002377
                  79,            0.024382,            0.014193,            0.014423,             0.85815,             0.74509,             0.81884,             0.66117,            0.028759,           0.0069669,            0.027408,            0.002278,            0.002278,            0.002278
                  80,            0.024041,            0.013938,            0.014466,             0.86891,             0.72844,             0.81783,             0.65569,            0.028715,           0.0070443,            0.028996,            0.002179,            0.002179,            0.002179
                  81,            0.024062,            0.013882,            0.013692,             0.87707,             0.74562,             0.83426,              0.6732,            0.028048,           0.0069576,            0.029468,             0.00208,             0.00208,             0.00208
                  82,            0.024093,             0.01431,            0.013423,             0.89408,             0.73885,             0.83175,             0.67387,            0.028701,           0.0070081,            0.027479,            0.001981,            0.001981,            0.001981
                  83,            0.024121,            0.013915,            0.013238,             0.87377,             0.75377,             0.83197,             0.67484,            0.028264,           0.0070065,            0.028501,            0.001882,            0.001882,            0.001882
                  84,             0.02387,            0.013917,            0.012792,              0.7699,             0.80999,             0.83659,             0.67833,            0.028356,           0.0069435,            0.028567,            0.001783,            0.001783,            0.001783
                  85,            0.023556,            0.013798,            0.013668,             0.77695,             0.81404,             0.83736,             0.67961,            0.029127,           0.0070351,            0.027962,            0.001684,            0.001684,            0.001684
                  86,            0.023668,            0.013923,            0.012941,             0.81188,              0.7963,             0.83436,             0.67673,            0.028592,           0.0069563,            0.028294,            0.001585,            0.001585,            0.001585
                  87,            0.023518,             0.01374,               0.012,             0.78189,             0.80093,             0.83442,              0.6806,            0.028382,           0.0069872,            0.028901,            0.001486,            0.001486,            0.001486
                  88,            0.023599,             0.01364,            0.013246,             0.81194,             0.77974,              0.8279,             0.67396,            0.028272,           0.0070067,            0.030421,            0.001387,            0.001387,            0.001387
                  89,            0.023152,            0.013897,            0.012967,             0.79129,             0.79495,             0.83115,             0.68081,            0.028185,           0.0070833,            0.030132,            0.001288,            0.001288,            0.001288
                  90,            0.023259,            0.013753,            0.011961,             0.84376,             0.78052,             0.83117,             0.67864,            0.028337,           0.0070816,            0.028415,            0.001189,            0.001189,            0.001189
                  91,            0.022963,            0.013865,            0.011205,              0.7827,             0.80445,             0.83707,             0.68144,            0.028438,           0.0069645,            0.029411,             0.00109,             0.00109,             0.00109
                  92,            0.022856,            0.013474,            0.011945,             0.80681,             0.79495,             0.84049,             0.68558,            0.028502,           0.0069268,            0.030075,            0.000991,            0.000991,            0.000991
                  93,            0.022452,            0.013391,            0.011607,             0.82563,              0.7925,             0.83561,             0.68179,            0.028651,           0.0070524,            0.029321,            0.000892,            0.000892,            0.000892
                  94,            0.021838,            0.013091,            0.011525,             0.80634,             0.80253,             0.84255,             0.68452,            0.028741,           0.0070839,            0.029919,            0.000793,            0.000793,            0.000793
                  95,              0.0222,            0.013404,            0.011813,             0.83979,             0.79272,             0.84514,             0.68777,            0.028357,           0.0070576,            0.029162,            0.000694,            0.000694,            0.000694
                  96,             0.02224,            0.013428,            0.011774,             0.84625,             0.79262,              0.8492,             0.69488,            0.028385,           0.0070506,            0.028393,            0.000595,            0.000595,            0.000595
                  97,            0.021731,            0.013012,            0.011657,             0.84667,             0.78553,             0.84474,             0.69291,            0.028626,           0.0070499,            0.029721,            0.000496,            0.000496,            0.000496
                  98,            0.022044,            0.013266,            0.010832,             0.83855,             0.78985,             0.84849,             0.69226,            0.028578,           0.0071138,             0.02902,            0.000397,            0.000397,            0.000397
                  99,            0.021751,            0.013301,            0.010584,             0.84217,             0.78693,             0.84914,             0.69537,            0.028482,           0.0070699,            0.029177,            0.000298,            0.000298,            0.000298
